title	subtitle	id	networkName	networkId	color	textColor	latitude	longitude	type	location	bike_count	electric_bike_count	dock_count
17th St / Rhode Island Ave NW		affeb890-08dc-46d2-9f8a-3eedf4452640	Capital Bikeshare	12	EE3124	FFFFFF	38.9067671	-77.0386273	dock	Washington, DC	0	0	0
17th / P St NW	13 bikes, 3 e-bikes, and 5 docks	5e828067-2fd6-4168-b150-5409754e734c	Capital Bikeshare	12	EE3124	FFFFFF	38.9098580	-77.0385660	station	Washington, DC	13	3	5
13th / O St NW / Logan Circle	7 bikes and 15 docks	53ebbf74-92df-4665-b863-25bd2d96e0b7	Capital Bikeshare	12	EE3124	FFFFFF	38.9087350	-77.0297790	station	Washington, DC	7	0	15
11th / M St NW	15 bikes, 5 e-bikes, and 5 docks	0824de05-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9055785	-77.0273130	station	Washington, DC	15	5	5
17th / K St NW	9 bikes and 13 docks	08249345-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9027600	-77.0386300	station	Washington, DC	9	0	13
17th / K St NW / Farragut Square	4 bikes, 1 e-bike, and 34 docks	0824c80d-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9020610	-77.0383220	station	Washington, DC	4	1	34
14th / L St NW	7 bikes and 12 docks	08261977-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9036580	-77.0317370	station	Washington, DC	7	0	12
Capital Bikeshare EBike		7f6330f4ea9c0b4d434ca7607d539cc5	Capital Bikeshare	12	EE3124	FFFFFF	38.9155795	-77.0381363	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		9613e1707e8626a36813800bbbb7af93	Capital Bikeshare	12	EE3124	FFFFFF	38.9126148	-77.0362350	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		7a4e5217fef5770636a0b64f38f3b515	Capital Bikeshare	12	EE3124	FFFFFF	38.9155943	-77.0381152	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		c24f99b9eec7d299b7d559c4268480c1	Capital Bikeshare	12	EE3124	FFFFFF	38.9082960	-77.0355128	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		8a34df6bf555eea101adb0083b848014	Capital Bikeshare	12	EE3124	FFFFFF	38.9155457	-77.0418067	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		3510b5959d973f801ed9405eb01d2e56	Capital Bikeshare	12	EE3124	FFFFFF	38.9161567	-77.0363963	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		d80c06496fe11b2efaf06ec5fa52fd75	Capital Bikeshare	12	EE3124	FFFFFF	38.9155795	-77.0383053	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		cd1869439d5470818bd57c8a40dc4cc6	Capital Bikeshare	12	EE3124	FFFFFF	38.9146892	-77.0345888	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		93a225cfd927c52265be4b0ef298d17a	Capital Bikeshare	12	EE3124	FFFFFF	38.9155727	-77.0381190	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		31da29cf0721f0e8fe6f367d6c4539fb	Capital Bikeshare	12	EE3124	FFFFFF	38.9098935	-77.0343823	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		877eceab48bc629181c889480523ff3d	Capital Bikeshare	12	EE3124	FFFFFF	38.9076658	-77.0424117	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		1fd4c3893f8ec19bb92cbace025c9cec	Capital Bikeshare	12	EE3124	FFFFFF	38.9095038	-77.0269477	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		dd56d7e95a456d7ccc4954575d7bac18	Capital Bikeshare	12	EE3124	FFFFFF	38.9078058	-77.0321778	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		7635b50a642623fa716022c25dac9f7c	Capital Bikeshare	12	EE3124	FFFFFF	38.9112387	-77.0364715	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		321634833bede4975882c654fe9ad105	Capital Bikeshare	12	EE3124	FFFFFF	38.9125313	-77.0372015	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		f4fc6f463cd9fe73b024f8368d374fbe	Capital Bikeshare	12	EE3124	FFFFFF	38.9155439	-77.0381063	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		6ac901455751e73856b00a8997744d14	Capital Bikeshare	12	EE3124	FFFFFF	38.9162945	-77.0373391	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		6d5f20b7a543804ddd1fe4338bf8b4be	Capital Bikeshare	12	EE3124	FFFFFF	38.9095398	-77.0364453	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		1ff1bb3cbf6656bfdb2b810e0077a5ca	Capital Bikeshare	12	EE3124	FFFFFF	38.9051745	-77.0282006	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		9abff9e4217efc6965e79c681269aa3e	Capital Bikeshare	12	EE3124	FFFFFF	38.9075646	-77.0258997	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		60b1b57e3e8a99586bc401021c843ca8	Capital Bikeshare	12	EE3124	FFFFFF	38.9099964	-77.0400968	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		88e6393fd67ed8a0860bb1d52e1fefee	Capital Bikeshare	12	EE3124	FFFFFF	38.9053724	-77.0261666	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		3d3d8d2d4c57daab8446c565646604ad	Capital Bikeshare	12	EE3124	FFFFFF	38.9156604	-77.0400271	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		57bcf55380bee67bb45c071a676b3fe7	Capital Bikeshare	12	EE3124	FFFFFF	38.9125351	-77.0295596	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		a2b9e82af74b25a7277dff3755e34911	Capital Bikeshare	12	EE3124	FFFFFF	38.9083556	-77.0355443	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		2d735b89bdc8d5aeaeb40a951ac7f6ba	Capital Bikeshare	12	EE3124	FFFFFF	38.9110774	-77.0377213	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		04aaea4a66d1c51ed96692ed52c9d79c	Capital Bikeshare	12	EE3124	FFFFFF	38.9123035	-77.0447388	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		1a1715e17c9e5fdd5e0d57c95731643e	Capital Bikeshare	12	EE3124	FFFFFF	38.9141989	-77.0421094	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		8d6789480239fc84e65de12e1c5319a0	Capital Bikeshare	12	EE3124	FFFFFF	38.9026201	-77.0360928	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		cb7fa52eb03bfe7d8a874bdbc2cad812	Capital Bikeshare	12	EE3124	FFFFFF	38.9039861	-77.0286883	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		458ad178062af6e75eb94341e28ea4d2	Capital Bikeshare	12	EE3124	FFFFFF	38.9154075	-77.0385950	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		edabf402e24abb80d5a3a2db0f6070b7	Capital Bikeshare	12	EE3124	FFFFFF	38.9148365	-77.0359424	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		605a064d1282ba8d51ff3467d96781c4	Capital Bikeshare	12	EE3124	FFFFFF	38.9068415	-77.0343430	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		2e4d9e4cab8bc93aee4685ac68b54c8c	Capital Bikeshare	12	EE3124	FFFFFF	38.9100236	-77.0400894	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		162e49edeeea550b831c21f33580d960	Capital Bikeshare	12	EE3124	FFFFFF	38.9059537	-77.0418080	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		e611bac2980104ce84d7ab38338258a0	Capital Bikeshare	12	EE3124	FFFFFF	38.9126604	-77.0362470	electric-bike	Washington, DC	0	0	0
